Session,Week,Suggested Days,Track,Title,Hours,Status,Files to Build,Key Patterns / Concepts,Prerequisites,Notes
1,1,Mon-Tue,A — Agentic Patterns,MCP (Model Context Protocol),2,Done,"mcp_server.py, mcp_client.py, claude-desktop.json","JSON-RPC over stdio, tools/list, tools/call, MCP resources, protocol-based tool sharing",agent_chatbot.py,Built in lesson 12. Maps to Brij's concept #02 (MCP).
2,1,Wed-Thu,A — Agentic Patterns,Reflection + Plan-and-Execute,2,Done,"agent_reflection.py, agent_plan_execute.py","Reflection / Reflexion, Plan-and-Execute, ReWOO, iterative refinement",agent_lg.py,Built in lesson 13. Maps to Brij's concept #01 (Agentic Loops — Reflect).
3,1,Sat,A — Agentic Patterns,Multi-agent + Long-term Memory,2,Done,"multi_agent.py, long_term_memory.py","Supervisor pattern, Swarm pattern, semantic long-term memory, state sharing via LangGraph channels",production_chatbot.py,Built in lesson 14. Maps to Brij's concept #03 (Subagents).
4,2,Mon-Tue,B — Workflow & Skill,Spec-Driven Development (SDD),2,Done,"spec_driven.py, spec_template.md","Spec-first workflow, structured intermediate artifacts, phase gates, acceptance criteria, HITL approval",structured.py,Built in lesson 15. Generated wordcount.py demonstrates the pipeline end-to-end.
5,2,Wed-Thu,B — Workflow & Skill,Vibe Coding,2,Not Started,"vibe_coding.py, sandbox.py","Generate-execute-reflect-retry loop, sandboxed code execution, error-driven refinement, iteration budget",agent.py,Improvisational opposite of SDD. The spectrum's other end.
6,2,Sat,B — Workflow & Skill,Skill Development (Claude Skills),2,Not Started,"skills/agenticcourse-rag/SKILL.md, skills/agenticcourse-caching/SKILL.md, skills/agenticcourse-guardrails/SKILL.md, test_skills.py","Skill manifests, triggering by description, bundled resources, skill composition, skill vs system-prompt trade-off",NOTES.md,Modular knowledge packaging.
7,3,Mon-Tue,C — Alt Architectures,Anthropic SDK / Claude Agent SDK,2,Not Started,"direct_anthropic.py, direct_agent_sdk.py, side_by_side.md","Raw messages.create API, tool_use / tool_result content blocks, Claude Agent SDK, LangChain vs SDK trade-offs",agent.py,Build the same patterns without LangChain.
8,3,Wed-Thu,C — Alt Architectures,AI Gateway (one control plane many models),2,Not Started,"ai_gateway.py, gateway_routing_demo.py","LiteLLM / OpenRouter / Vercel AI Gateway, provider routing, auth, rate-limit, retry, cost tracking, A/B model swap",Session 7,NEW. Maps to Brij's concept #04 (AI Gateway).
9,3,Sat,D — Data & Multi-modal,Files & Document AI (incl. multimodal RAG),2,Not Started,"pdf_qa.py, vision_demo.py, citations_demo.py, batch_processor.py, multimodal_rag.py","Native PDF input, vision input, Files API, Citations API, Batches API (50% discount on async), CLIP/ColPali unified multimodal embedding",rag.py,Scope expanded — now covers BOTH Claude native multimodal AND unified-embedding multimodal RAG. Maps to Brij RAG #5.
10,4,Mon-Tue,E — Graph Depth,Custom LangGraph + HITL,2,Not Started,"custom_graph.py, time_travel.py","StateGraph, conditional edges, interrupts, HITL approvals, time-travel debugging, subgraphs",agent_chatbot.py,Beyond create_react_agent.
11,4,Wed-Thu,E.5 — RAG Architectures,Hybrid RAG (dense + sparse + RRF),2,Not Started,"hybrid_rag.py, rrf_demo.py","BM25 sparse search via rank_bm25, dense + sparse fusion, Reciprocal Rank Fusion (RRF), keyword vs semantic match comparison",rag.py,NEW. Maps to Brij RAG #1. 15-30% retrieval-quality improvement over dense-only on most corpora.
12,4,Fri,E.5 — RAG Architectures,GraphRAG (entity extraction + knowledge graph),2,Not Started,"graph_rag.py, entity_extractor.py, graph_traversal.py","Entity + relationship extraction via structured output, NetworkX or Neo4j knowledge graph, subgraph retrieval, community summaries, hybrid chunk + graph retrieval",Session 5 (structured output),NEW. Maps to Brij RAG #2. High value for relationship-heavy data (legal/biomedical/orgcharts).
13,4,Sat-Sun,E.5 — RAG Architectures,Corrective RAG (CRAG),2,Not Started,"corrective_rag.py, retrieval_grader.py, query_rewriter.py","Retrieval-grader LLM judge, query rewriter for ambiguous results, web-search fallback for incorrect retrieval, branching pipeline",safe_rag.py,NEW. Maps to Brij RAG #4. Extends safe_rag.py's pattern but on the retrieval side.
14,5,Mon-Tue,F — Production,Evaluation (Ragas + LangSmith),2,Not Started,"eval_dataset.py, eval.py, regression.py","Golden datasets, the four RAG metrics (faithfulness/answer-relevance/context-precision/context-recall), LangSmith tracing, regression testing for prompts",safe_rag.py,Measurable quality. Maps to Brij concept #06 (Evals).
15,5,Wed-Thu,F — Production,Cost Optimization,2,Not Started,"model_selection.py, cache_audit.py, batch_pipeline.py, prompt_compression.py","Model selection per role (Haiku/Sonnet/Opus), cache hit-rate optimization, Batches API, prompt compression",agent_lg_cached.py,Targets 5-10x cost reduction. Maps to Brij concept #05 (Inference Economics).
16,5,Fri-Sat,F — Production,Streaming + Web UI,2,Not Started,"app.py, static/index.html","Async LCEL (.ainvoke / .astream), Server-Sent Events, async LCEL throughout, per-request thread_id, backpressure",production_chatbot.py,Browser-accessible chatbot.
17,5,Sun,F — Production,Production Deployment + Observability,2,Not Started,"Dockerfile, docker-compose.yml, fly.toml, monitoring.md","Containerization, deployment platforms (Fly.io, Vercel, Render), secrets, autoscaling, persistent backing stores, distributed tracing, cost dashboards",app.py from Session 16,Real users on real hardware. Maps to Brij concept #08 (Observability).
18,6,Mon-Tue,G — Architect Skills,System Design Interview,2,Not Started,"interview_notes.md, design_artifacts/ (diagrams only)","Architect judgement, 5-phase interview structure (clarify-constrain-sketch-probe-iterate), trade-off analysis, AI-specific design questions",all prior sessions,No code — whiteboarding only.
