Session,Week,Suggested Days,Track,Title,Hours,Status,Files to Build,Key Patterns / Concepts,Prerequisites,Notes
0,0,Mon,Track 0 — Foundations,LLM Internals & Model Selection,2,Not Started,00_llm_fundamentals.py,"Transformers, tokenization (BPE), context windows, sampling (temperature/top-p), reasoning models, benchmarks (MMLU/HumanEval/LMSYS/MTEB), model family selection",None,Fills Roadmap Category 01. Prerequisite for all sessions.
0b,0,Tue,Track 0 — Foundations (Optional),Engineering Foundations for AI,2,Not Started,"00b_engineering_foundations.py, labs/docker/Dockerfile.00b, labs/docker/docker-compose.00b.yml","Python async/await, FastAPI + Pydantic, Docker + docker-compose, pgvector setup",None,Optional. Fills Roadmap Category 09. For engineers new to the Python web stack.
2b,1,Fri,Track 0 — Foundations,Prompt Engineering Deep Dive,2,Not Started,02b_prompt_engineering.py,"System prompt anatomy, few-shot, Chain-of-Thought, XML structuring, extended thinking (budget_tokens)",Sessions 01-05,Fills Roadmap Category 02. Closes the gap between prompt caching and structured output.
1,1,Mon-Tue,A — Agentic Patterns,MCP (Model Context Protocol),2,Done,"12_mcp_server.py, 12_mcp_client.py, claude-desktop.json","JSON-RPC over stdio, tools/list, tools/call, MCP resources, protocol-based tool sharing",08_chatbot_memory.py,Built in lesson 12. Maps to Brij concept 02.
1b,1,Fri,A — Agentic Patterns,A2A (Agent-to-Agent Protocol),2,Not Started,"12b_a2a_specialist.py, 12b_a2a_orchestrator.py, 12b_a2a_demo.py","Agent Card (/.well-known/agent.json), Discover → Negotiate → Delegate → Return handshake, skill matching, async task lifecycle (202 + poll), cross-vendor agent interop",Session 1 MCP,NEW. Completes the 2026 protocol stack: MCP = agent↔tool, A2A = agent↔agent. Only gap vs Master Scalable Agentic AI infographic.
1c,1,Sun,A — Agentic Patterns,Context Assembly,1,Not Started,1c_context_assembly.py,"Context window as curated model input; system prompt + tools + memory + RAG docs + history; token budget allocation per slot; dynamic context composition; curate-don't-dump principle",Session 1b A2A,Gap vs Master Scalable Agentic AI infographic (concept 2). Bridges protocol sessions to agent-loop internals — teaches engineers to deliberately assemble what the model sees on every call.
2,1,Wed-Thu,A — Agentic Patterns,Reflection + Plan-and-Execute,2,Done,"13_reflection_03_agent_manual.py, 13_plan_execute_03_agent_manual.py","Reflection / Reflexion, Plan-and-Execute, ReWOO, iterative refinement",03_agent_framework.py,Built in lesson 13. Maps to Brij concept 01.
3,1,Sat,A — Agentic Patterns,Multi-agent + Long-term + Episodic Memory,2,Done,"14_multi_03_agent_manual.py, 14_long_term_memory.py","Supervisor pattern, semantic LTM, EPISODIC MEMORY (events not facts), state sharing via LangGraph",11_production_chatbot.py,Built in lesson 14. Maps to Brij concept 03. Lesson updated with episodic memory subsection.
4,2,Mon-Tue,B — Workflow & Skill,Spec-Driven Development (SDD),2,Done,"15_spec_driven.py","Spec-first workflow, structured intermediate artifacts, phase gates, acceptance criteria, HITL approval",05_structured_output.py,Built in lesson 15. Generated wordcount.py demonstrates the pipeline.
5,2,Wed-Thu,B — Workflow & Skill,Vibe Coding,2,Not Started,"16_vibe_coding.py, sandbox.py","Generate-execute-reflect-retry loop, sandboxed code execution, error-driven refinement, iteration budget",03_agent_manual.py,Improvisational opposite of SDD.
6,2,Sat,B — Workflow & Skill,Skill Development (Claude Skills),2,Not Started,"skills/agenticcourse-rag/SKILL.md, skills/agenticcourse-caching/SKILL.md, 17_claude_skills_router.py","Skill manifests, triggering by description, bundled resources, skill composition",NOTES.md,Modular knowledge packaging.
7,3,Mon-Tue,C — Alt Architectures,Anthropic SDK / Claude Agent SDK,2,Not Started,"direct_anthropic.py, direct_agent_sdk.py","Raw messages.create API, tool_use / tool_result content blocks, Claude Agent SDK, LangChain vs SDK trade-offs",03_agent_manual.py,Build same patterns without LangChain.
